직종,성명,선정년도,대표사업장명,지역,주소,대표품목,위도,경도,네이버플레이스
요리,천덕상,2022,훈장골 광주점,경기,경기도 광주시 태전동1길 7,"양념갈비, 함흥냉면",37.3853663,127.2337634,https://map.naver.com/p/entry/place/2093420948
요리,천덕상,2022,훈장골 김포점,경기,경기도 김포시 김포한강2로23번길 78 2층,"양념갈비, 함흥냉면",37.6397725,126.6806983,https://map.naver.com/p/entry/place/37374259
요리,천덕상,2022,갈비도락 김포점,경기,경기도 김포시 양촌읍 김포한강4로 295,"양념갈비, 함흥냉면",37.651016,126.6504188,https://map.naver.com/p/entry/place/1717634374
요리,천덕상,2022,갈비도락 다산점,경기,경기도 남양주시 진관로22번길 2 주건축물제1동,"양념갈비, 함흥냉면",37.6139905,127.1714147,https://map.naver.com/p/entry/place/2095036634
제과·제빵,최형일,2022,엘리제과자점,경기,경기도 남양주시 호평로46번안길 5,베이커리,37.6550316,127.2456459,https://map.naver.com/p/entry/place/1775926888
제과·제빵,안창현,2009,안스베이커리 롯데백화점 중동점,경기,"경기도 부천시 원미구 길주로 300 , B1층",베이커리,37.502567,126.775207,https://map.naver.com/p/entry/place/36932337
제과·제빵,김영모,2012,파네트리,경기,경기도 성남시 수정구 설개로 14번길 23,베이커리,37.4201667,127.1039651,https://map.naver.com/p/entry/place/1774904834
제과·제빵,김영모,2012,대한민국명장 김영모 다이닝테이블,경기,경기도 성남시 수정구 설개로 14번길 25,베이커리,37.4194688,127.10393,https://map.naver.com/p/entry/place/1899606932
요리,천덕상,2022,훈장골 수원점,경기,경기도 수원시 권선구 칠보로 146,"양념갈비, 함흥냉면",37.2655427,126.9548546,https://map.naver.com/p/entry/place/34331505
제과·제빵,홍종흔,2012,홍종흔베이커리 광교엘포트점,경기,"경기도 수원시 영통구 광교중앙로145, 1층",베이커리,37.287325,127.0583902,https://map.naver.com/p/entry/place/1689568551
제과·제빵,서정웅,2005,코른베르그 과자점 수원성빈센트병원점,경기,경기도 수원시 팔달구 중부대로 93,베이커리,37.2781305,127.0277888,https://map.naver.com/p/entry/place/1611682539
요리,천덕상,2022,훈장골 시흥은계점,경기,경기도 시흥시 수인로3247번길 5 2층,"양념갈비, 함흥냉면",37.4381914,126.7978536,https://map.naver.com/p/entry/place/1003139881
